"","name","longitude","latitude","sample","event","year","month","day","time","country","state","county"
"158","Passerella iliaca",-70.7835388,48.006268,"L606887","S6518775",1995,6,177,19,"Canada","Quebec","Le Fjord-du-Saguenay"
"159","Passerella iliaca",-70.7835388,48.006268,"L606887","S6518780",1995,6,180,6.5,"Canada","Quebec","Le Fjord-du-Saguenay"
"160","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518783",1995,7,189,5,"Canada","Quebec","La Côte-de-Beaupré"
"161","Passerella iliaca",-70.7835388,48.006268,"L606887","S6518785",1995,7,190,8,"Canada","Quebec","Le Fjord-du-Saguenay"
"162","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518788",1995,7,201,5.75,"Canada","Quebec","La Côte-de-Beaupré"
"163","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6518789",1995,7,202,6,"Canada","Quebec","La Côte-de-Beaupré"
"164","Passerella iliaca",-61.9749498,47.2639706,"L3154032","S22321663",1996,6,169,7,"Canada","Quebec","Les Îles-de-la-Madeleine"
"165","Passerella iliaca",-61.9463511,47.3247713,"L1912422","S22850380",1996,7,191,12,"Canada","Quebec","Les Îles-de-la-Madeleine"
"166","Passerella iliaca",-61.9463511,47.3247713,"L1912422","S22850381",1996,7,192,8,"Canada","Quebec","Les Îles-de-la-Madeleine"
"167","Passerella iliaca",-61.9463511,47.3247713,"L1912422","S22850382",1996,7,194,8,"Canada","Quebec","Les Îles-de-la-Madeleine"
"168","Passerella iliaca",-61.9463511,47.3247713,"L1912422","S22850384",1996,7,197,6,"Canada","Quebec","Les Îles-de-la-Madeleine"
"169","Passerella iliaca",-66.3287716,48.9237547,"L3317519","S23836418",1996,6,165,6.5,"Canada","Quebec","La Haute-Gaspésie"
"170","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6519148",1996,7,191,5.5,"Canada","Quebec","La Côte-de-Beaupré"
"171","Passerella iliaca",-71.1460876,47.3211427,"L291421","S6519150",1996,7,193,5.33,"Canada","Quebec","La Côte-de-Beaupré"
"172","Passerella iliaca",-64.2842194,48.8222616,"L2740329","S17633333",1997,6,161,8,"Canada","Quebec","La Côte-de-Gaspé"
"173","Passerella iliaca",-69.4834682,47.9546131,"L2740353","S17633742",1997,6,159,11,"Canada","Quebec","Rivière-du-Loup"
"174","Passerella iliaca",-64.2085339,48.5232923,"L2740384","S17633837",1997,6,160,9,"Canada","Quebec","Le Rocher-Percé"
"175","Passerella iliaca",-64.2205502,48.5014378,"L2740402","S17633940",1997,6,163,10,"Canada","Quebec","Le Rocher-Percé"
"176","Passerella iliaca",-64.2436695,48.5267234,"L803419","S17634073",1997,6,162,9,"Canada","Quebec","Le Rocher-Percé"
"177","Passerella iliaca",-71.35,47.16667,"L4583637","S29549112",1997,7,192,0,"Canada","Quebec","La Jacques-Cartier"
"178","Passerella iliaca",-64.1967575,48.7700675,"L2343545","S6519620",1997,7,204,16,"Canada","Quebec","La Côte-de-Gaspé"
"179","Passerella iliaca",-64.1967575,48.7700675,"L2343545","S6519621",1997,7,205,5.5,"Canada","Quebec","La Côte-de-Gaspé"
"180","Passerella iliaca",-64.1967575,48.7700675,"L2343545","S6519622",1997,7,206,5.5,"Canada","Quebec","La Côte-de-Gaspé"
"181","Passerella iliaca",-64.1967575,48.7700675,"L2343545","S6519623",1997,7,207,5.5,"Canada","Quebec","La Côte-de-Gaspé"
"182","Passerella iliaca",-64.1967575,48.7700675,"L2343545","S6519624",1997,7,208,5.5,"Canada","Quebec","La Côte-de-Gaspé"
"183","Passerella iliaca",-64.4950569,50.3098275,"L3945983","S26891408",1998,7,184,0,"Canada","Quebec","Minganie"
"184","Passerella iliaca",-63.601944,50.238061,"L4295503","S26891414",1998,7,202,0,"Canada","Quebec","Minganie"
"185","Passerella iliaca",-63.601944,50.238061,"L4295503","S26891751",1998,7,202,0,"Canada","Quebec","Minganie"
"186","Passerella iliaca",-64.615067,49.07364,"L606996","S6519788",1998,6,168,8,"Canada","Quebec","La Côte-de-Gaspé"
"187","Passerella iliaca",-64.31667,50.28333,"L4157825","S26891340",1999,6,171,0,"Canada","Quebec","Minganie"
"188","Passerella iliaca",-64.2061186,50.2206197,"L2995251","S26891922",1999,7,204,0,"Canada","Quebec","Minganie"
"189","Passerella iliaca",-64.31667,50.28333,"L4157893","S26891975",1999,6,171,0,"Canada","Quebec","Minganie"
"190","Passerella iliaca",-64.159543,48.4901476,"L295795","S27018059",1999,7,200,9.5,"Canada","Quebec","Le Rocher-Percé"
"191","Passerella iliaca",-69.5062923,47.9404107,"L610533","S6519978",1999,6,180,8.25,"Canada","Quebec","Rivière-du-Loup"
"192","Passerella iliaca",-68.8492713,48.3338748,"L3524519","S6519983",1999,7,184,10,"Canada","Quebec","Rimouski-Neigette"
"193","Passerella iliaca",-69.5062923,47.9404107,"L610533","S6519990",1999,7,190,18.5,"Canada","Quebec","Rivière-du-Loup"
"194","Passerella iliaca",-70.7835388,48.006268,"L606887","S6519999",1999,7,199,7.5,"Canada","Quebec","Le Fjord-du-Saguenay"
"195","Passerella iliaca",-61.8727684,47.4214655,"L2351744","S19361744",2000,7,185,9.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
"196","Passerella iliaca",-70.8824158,45.2934433,"L4182722","S27055828",2000,7,184,6,"Canada","Quebec","Le Granit"
"197","Passerella iliaca",-65.18333,50.28333,"L4197855","S27171989",2000,7,183,0,"Canada","Quebec","Minganie"
"198","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172008",2000,6,156,0,"Canada","Quebec","Minganie"
"199","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172009",2000,6,153,0,"Canada","Quebec","Minganie"
"200","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172010",2000,7,184,0,"Canada","Quebec","Minganie"
"201","Passerella iliaca",-65.96667,50.28333,"L4197863","S27172019",2000,7,211,0,"Canada","Quebec","Sept-Rivières"
"202","Passerella iliaca",-65.18333,50.28333,"L4197909","S27172455",2000,7,183,0,"Canada","Quebec","Minganie"
"203","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172475",2000,6,156,0,"Canada","Quebec","Minganie"
"204","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172476",2000,6,153,0,"Canada","Quebec","Minganie"
"205","Passerella iliaca",-64.331646,50.290436,"L3945956","S27172477",2000,7,184,0,"Canada","Quebec","Minganie"
"206","Passerella iliaca",-65.96667,50.28333,"L4197918","S27172488",2000,7,211,0,"Canada","Quebec","Sept-Rivières"
"207","Passerella iliaca",-66.019732,48.987951,"L607039","S6520233",2000,6,179,12.25,"Canada","Quebec","La Haute-Gaspésie"
"208","Passerella iliaca",-66.019732,48.987951,"L607039","S6520236",2000,6,180,3.5,"Canada","Quebec","La Haute-Gaspésie"
"209","Passerella iliaca",-61.799434,47.395696,"L3046273","S26508221",2001,6,160,7.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
"210","Passerella iliaca",-61.7088962,47.5291116,"L3739857","S26508223",2001,7,200,8.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
